84;BARDONNEX;Ecole de Compesières;salle;Salle de rythmique;salle;1;intérieur
85;BARDONNEX;Ecole de Compesières;salle;Terrain de basketball;terrain;1;extérieur
86;BELLEVUE;Ecole de Bellevue;zone de sport;Salle de gymnastique;salle;1;intérieur
87;BELLEVUE;Ecole de Bellevue;zone de sport;Salle de rythmique;salle;1;intérieur
88;BELLEVUE;Ecole de Bellevue;zone de sport;Terrain de basket;terrain;1;extérieur
89;BELLEVUE;Ecole de Bellevue;zone de sport;Terrain de football;terrain;1;extérieur
90;BELLEVUE;Ecole de Bellevue;zone de sport;Table de ping-pong;terrain;2;extérieur
91;BELLEVUE;Ecole de Bellevue;zone de sport;Boulodrome;terrain;5;extérieur
92;BELLEVUE;Salle de judo;salle;Salle de judo;salle;1;intérieur
93;BELLEVUE;Stand de tir à l'arbalète;stand;Stand de tir à l'arbalète;stand;1;extérieur et intérieur
94;BELLEVUE;Country Club Geneva;centre sportif;Piscine country club;piscine;1;intérieur
95;BELLEVUE;Country Club Geneva;centre sportif;Courts de tennis;court;5;intérieur
96;BELLEVUE;Country Club Geneva;centre sportif;Terrain de golf (practice);terrain;2;extérieur
97;BELLEVUE;Country Club Geneva;centre sportif;Court de badminton;court;1;intérieur
98;BELLEVUE;Country Club Geneva;centre sportif;Court de padel;court;3;intérieur
99;BELLEVUE;Country Club Geneva;centre sportif;Courts de tennis;court;3;extérieur
100;BELLEVUE;Country Club Geneva;centre sportif;Courts de tennis;court;5;intérieur
101;BELLEVUE;Country Club Geneva;centre sportif;Terrain de squash;court;2;intérieur
102;BELLEVUE;Country Club Geneva;centre sportif;Salle de fitness;salle;1;intérieur
103;BELLEVUE;Country Club Geneva;centre sportif;Salle de musculation;salle;1;intérieur
104;BELLEVUE;Port Gitana;port et plage;Port;aquatique;1;extérieur
105;BELLEVUE;Port Gitana;port et plage;Plage;aquatique;1;extérieur
106;BELLEVUE;Port Gitana;port et plage;Tables de ping-pong;terrain;2;extérieur
107;BELLEVUE;Port Saladin;port;Port;aquatique;1;extérieur
108;BELLEVUE;Espace Santé;salle;Fitness Santé;salle;2;intérieur
109;BELLEVUE;Espace Santé;salle;Salle de musculation;salle;1;intérieur
110;BELLEVUE;Centre sportif de la Vigne-Blanche;centre sportif;Patinoire;patinoire;1;extérieur
